,ANO_ELEICAO,SIGLA_UE,NOME_UE,CODIGO_CARGO,DESCRICAO_CARGO,QTDE_VAGAS
4,2018,SE,SERGIPE,7,Deputado Estadual,24
0,2014,RR,RORAIMA,3,Governador,1
1,2014,RR,RORAIMA,4,Vice-governador,1
2,2014,RR,RORAIMA,5,Senador,1
3,2014,RR,RORAIMA,6,Deputado Federal,8
4,2014,RR,RORAIMA,7,Deputado Estadual,24
5,2014,RR,RORAIMA,9,1. Suplente,1
6,2014,RR,RORAIMA,10,2. Suplente,1
0,1998,RJ,RIO DE JANEIRO,3,GOVERNADOR,1
1,1998,RJ,RIO DE JANEIRO,5,SENADOR,1
2,1998,RJ,RIO DE JANEIRO,6,DEPUTADO FEDERAL,46
3,1998,RJ,RIO DE JANEIRO,7,DEPUTADO ESTADUAL,70
0,2002,TO,TOCANTINS,3,GOVERNADOR,1
1,2002,TO,TOCANTINS,5,SENADOR,2
2,2002,TO,TOCANTINS,6,DEPUTADO FEDERAL,8
3,2002,TO,TOCANTINS,7,DEPUTADO ESTADUAL,24
0,2014,MS,MATO GROSSO DO SUL,3,Governador,1
1,2014,MS,MATO GROSSO DO SUL,4,Vice-governador,1
2,2014,MS,MATO GROSSO DO SUL,5,Senador,1
3,2014,MS,MATO GROSSO DO SUL,6,Deputado Federal,8
4,2014,MS,MATO GROSSO DO SUL,7,Deputado Estadual,24
5,2014,MS,MATO GROSSO DO SUL,9,1. Suplente,1
6,2014,MS,MATO GROSSO DO SUL,10,2. Suplente,1
0,2006,BA,BAHIA,3,GOVERNADOR,1
1,2006,BA,BAHIA,5,SENADOR,1
2,2006,BA,BAHIA,6,DEPUTADO FEDERAL,39
3,2006,BA,BAHIA,7,DEPUTADO ESTADUAL,63
0,2014,PR,PARANÁ,3,Governador,1
1,2014,PR,PARANÁ,4,Vice-governador,1
2,2014,PR,PARANÁ,5,Senador,1
3,2014,PR,PARANÁ,6,Deputado Federal,30
4,2014,PR,PARANÁ,7,Deputado Estadual,54
5,2014,PR,PARANÁ,9,1. Suplente,1
6,2014,PR,PARANÁ,10,2. Suplente,1
0,1998,RS,RIO GRANDE DO SUL,3,GOVERNADOR,1
1,1998,RS,RIO GRANDE DO SUL,5,SENADOR,1
2,1998,RS,RIO GRANDE DO SUL,6,DEPUTADO FEDERAL,31
3,1998,RS,RIO GRANDE DO SUL,7,DEPUTADO ESTADUAL,55
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,PB,PARAÍBA,3,Governador,1
2,2018,PB,PARAÍBA,5,Senador,2
3,2018,PB,PARAÍBA,6,Deputado Federal,12
4,2018,PB,PARAÍBA,7,Deputado Estadual,36
0,2014,CE,CEARÁ,3,Governador,1
1,2014,CE,CEARÁ,4,Vice-governador,1
2,2014,CE,CEARÁ,5,Senador,1
3,2014,CE,CEARÁ,6,Deputado Federal,22
4,2014,CE,CEARÁ,7,Deputado Estadual,46
5,2014,CE,CEARÁ,9,1. Suplente,1
6,2014,CE,CEARÁ,10,2. Suplente,1
0,2002,DF,DISTRITO FEDERAL,3,GOVERNADOR,1
1,2002,DF,DISTRITO FEDERAL,5,SENADOR,2
2,2002,DF,DISTRITO FEDERAL,6,DEPUTADO FEDERAL,8
3,2002,DF,DISTRITO FEDERAL,8,DEPUTADO DISTRITAL,24
0,2006,PI,PIAUÍ,3,GOVERNADOR,1
1,2006,PI,PIAUÍ,5,SENADOR,1
2,2006,PI,PIAUÍ,6,DEPUTADO FEDERAL,10
3,2006,PI,PIAUÍ,7,DEPUTADO ESTADUAL,30
0,1998,AC,ACRE,3,GOVERNADOR,1
1,1998,AC,ACRE,5,SENADOR,1
2,1998,AC,ACRE,6,DEPUTADO FEDERAL,8
3,1998,AC,ACRE,7,DEPUTADO ESTADUAL,24
0,2010,RR,RORAIMA,3,GOVERNADOR,1
1,2010,RR,RORAIMA,3,GOVERNADOR,1
2,2010,RR,RORAIMA,5,SENADOR,2
3,2010,RR,RORAIMA,6,DEPUTADO FEDERAL,8
4,2010,RR,RORAIMA,7,DEPUTADO ESTADUAL,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,PA,PARÁ,3,Governador,1
2,2018,PA,PARÁ,5,Senador,2
3,2018,PA,PARÁ,6,Deputado Federal,17
4,2018,PA,PARÁ,7,Deputado Estadual,41
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,TO,TOCANTINS,3,Governador,1
2,2018,TO,TOCANTINS,5,Senador,2
3,2018,TO,TOCANTINS,6,Deputado Federal,8
4,2018,TO,TOCANTINS,7,Deputado Estadual,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,SP,SÃO PAULO,3,Governador,1
2,2018,SP,SÃO PAULO,5,Senador,2
3,2018,SP,SÃO PAULO,6,Deputado Federal,70
4,2018,SP,SÃO PAULO,7,Deputado Estadual,94
0,2002,MG,MINAS GERAIS,3,GOVERNADOR,1
1,2002,MG,MINAS GERAIS,5,SENADOR,2
2,2002,MG,MINAS GERAIS,6,DEPUTADO FEDERAL,53
3,2002,MG,MINAS GERAIS,7,DEPUTADO ESTADUAL,77
0,2006,GO,GOIÁS,3,GOVERNADOR,1
1,2006,GO,GOIÁS,5,SENADOR,1
2,2006,GO,GOIÁS,6,DEPUTADO FEDERAL,17
3,2006,GO,GOIÁS,7,DEPUTADO ESTADUAL,41
0,2006,MA,MARANHÃO,3,GOVERNADOR,1
1,2006,MA,MARANHÃO,5,SENADOR,1
2,2006,MA,MARANHÃO,6,DEPUTADO FEDERAL,18
3,2006,MA,MARANHÃO,7,DEPUTADO ESTADUAL,42
0,2010,RJ,RIO DE JANEIRO,3,GOVERNADOR,1
1,2010,RJ,RIO DE JANEIRO,5,SENADOR,2
2,2010,RJ,RIO DE JANEIRO,6,DEPUTADO FEDERAL,46
3,2010,RJ,RIO DE JANEIRO,7,DEPUTADO ESTADUAL,70
0,2010,RS,RIO GRANDE DO SUL,3,GOVERNADOR,1
1,2010,RS,RIO GRANDE DO SUL,5,SENADOR,2
2,2010,RS,RIO GRANDE DO SUL,6,DEPUTADO FEDERAL,31
3,2010,RS,RIO GRANDE DO SUL,7,DEPUTADO ESTADUAL,55
0,1998,RO,RONDÔNIA,3,GOVERNADOR,1
1,1998,RO,RONDÔNIA,5,SENADOR,1
2,1998,RO,RONDÔNIA,6,DEPUTADO FEDERAL,8
3,1998,RO,RONDÔNIA,7,DEPUTADO ESTADUAL,24
0,2002,PR,PARANA,3,GOVERNADOR,1
1,2002,PR,PARANA,5,SENADOR,2
2,2002,PR,PARANA,6,DEPUTADO FEDERAL,30
3,2002,PR,PARANA,7,DEPUTADO ESTADUAL,54
0,2002,MA,MARANHAO,3,GOVERNADOR,1
1,2002,MA,MARANHAO,5,SENADOR,2
2,2002,MA,MARANHAO,6,DEPUTADO FEDERAL,18
3,2002,MA,MARANHAO,7,DEPUTADO ESTADUAL,42
0,2010,RO,RONDÔNIA,3,GOVERNADOR,1
1,2010,RO,RONDÔNIA,3,GOVERNADOR,1
2,2010,RO,RONDÔNIA,5,SENADOR,2
3,2010,RO,RONDÔNIA,6,DEPUTADO FEDERAL,8
4,2010,RO,RONDÔNIA,7,DEPUTADO ESTADUAL,24
0,2006,AC,ACRE,3,GOVERNADOR,1
1,2006,AC,ACRE,5,SENADOR,1
2,2006,AC,ACRE,6,DEPUTADO FEDERAL,8
3,2006,AC,ACRE,7,DEPUTADO ESTADUAL,24
0,2014,PE,PERNAMBUCO,3,Governador,1
1,2014,PE,PERNAMBUCO,4,Vice-governador,1
2,2014,PE,PERNAMBUCO,5,Senador,1
3,2014,PE,PERNAMBUCO,6,Deputado Federal,25
4,2014,PE,PERNAMBUCO,7,Deputado Estadual,49
5,2014,PE,PERNAMBUCO,9,1. Suplente,1
6,2014,PE,PERNAMBUCO,10,2. Suplente,1
0,2014,MA,MARANHÃO,3,Governador,1
1,2014,MA,MARANHÃO,4,Vice-governador,1
2,2014,MA,MARANHÃO,5,Senador,1
3,2014,MA,MARANHÃO,6,Deputado Federal,18
4,2014,MA,MARANHÃO,7,Deputado Estadual,42
5,2014,MA,MARANHÃO,9,1. Suplente,1
6,2014,MA,MARANHÃO,10,2. Suplente,1
0,1998,PR,PARANÁ,3,GOVERNADOR,1
1,1998,PR,PARANÁ,5,SENADOR,1
2,1998,PR,PARANÁ,6,DEPUTADO FEDERAL,30
3,1998,PR,PARANÁ,7,DEPUTADO ESTADUAL,54
0,2010,DF,DISTRITO FEDERAL,3,GOVERNADOR,1
1,2010,DF,DISTRITO FEDERAL,3,GOVERNADOR,1
2,2010,DF,DISTRITO FEDERAL,5,SENADOR,2
3,2010,DF,DISTRITO FEDERAL,6,DEPUTADO FEDERAL,8
4,2010,DF,DISTRITO FEDERAL,8,DEPUTADO DISTRITAL,24
0,2006,MT,MATO GROSSO,3,GOVERNADOR,1
1,2006,MT,MATO GROSSO,5,SENADOR,1
2,2006,MT,MATO GROSSO,6,DEPUTADO FEDERAL,8
3,2006,MT,MATO GROSSO,7,DEPUTADO ESTADUAL,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,PI,PIAUÍ,3,Governador,1
2,2018,PI,PIAUÍ,5,Senador,2
3,2018,PI,PIAUÍ,6,Deputado Federal,10
4,2018,PI,PIAUÍ,7,Deputado Estadual,30
0,2006,CE,CEARÁ,3,GOVERNADOR,1
1,2006,CE,CEARÁ,5,SENADOR,1
2,2006,CE,CEARÁ,6,DEPUTADO FEDERAL,22
3,2006,CE,CEARÁ,7,DEPUTADO ESTADUAL,46
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,PE,PERNAMBUCO,3,Governador,1
2,2018,PE,PERNAMBUCO,5,Senador,2
3,2018,PE,PERNAMBUCO,6,Deputado Federal,25
4,2018,PE,PERNAMBUCO,7,Deputado Estadual,49
0,2002,RO,RONDONIA,3,GOVERNADOR,1
1,2002,RO,RONDONIA,5,SENADOR,2
2,2002,RO,RONDONIA,6,DEPUTADO FEDERAL,8
3,2002,RO,RONDONIA,7,DEPUTADO ESTADUAL,24
0,2006,RR,RORAIMA,3,GOVERNADOR,1
1,2006,RR,RORAIMA,5,SENADOR,1
2,2006,RR,RORAIMA,6,DEPUTADO FEDERAL,8
3,2006,RR,RORAIMA,7,DEPUTADO ESTADUAL,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,RN,RIO GRANDE DO NORTE,3,Governador,1
2,2018,RN,RIO GRANDE DO NORTE,5,Senador,2
3,2018,RN,RIO GRANDE DO NORTE,6,Deputado Federal,8
4,2018,RN,RIO GRANDE DO NORTE,7,Deputado Estadual,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,CE,CEARÁ,3,Governador,1
2,2018,CE,CEARÁ,5,Senador,2
3,2018,CE,CEARÁ,6,Deputado Federal,22
4,2018,CE,CEARÁ,7,Deputado Estadual,46
0,2010,MT,MATO GROSSO,3,GOVERNADOR,1
1,2010,MT,MATO GROSSO,5,SENADOR,2
2,2010,MT,MATO GROSSO,6,DEPUTADO FEDERAL,8
3,2010,MT,MATO GROSSO,7,DEPUTADO ESTADUAL,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,AM,AMAZONAS,3,Governador,1
2,2018,AM,AMAZONAS,5,Senador,2
3,2018,AM,AMAZONAS,6,Deputado Federal,8
4,2018,AM,AMAZONAS,7,Deputado Estadual,24
0,2002,PA,PARA,3,GOVERNADOR,1
1,2002,PA,PARA,5,SENADOR,2
2,2002,PA,PARA,6,DEPUTADO FEDERAL,17
3,2002,PA,PARA,7,DEPUTADO ESTADUAL,41
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,GO,GOIÁS,3,Governador,1
2,2018,GO,GOIÁS,5,Senador,2
3,2018,GO,GOIÁS,6,Deputado Federal,17
4,2018,GO,GOIÁS,7,Deputado Estadual,41
0,2010,CE,CEARÁ,3,GOVERNADOR,1
1,2010,CE,CEARÁ,5,SENADOR,2
2,2010,CE,CEARÁ,6,DEPUTADO FEDERAL,22
3,2010,CE,CEARÁ,7,DEPUTADO ESTADUAL,46
0,2014,AC,ACRE,3,Governador,1
1,2014,AC,ACRE,4,Vice-governador,1
2,2014,AC,ACRE,5,Senador,1
3,2014,AC,ACRE,6,Deputado Federal,8
4,2014,AC,ACRE,7,Deputado Estadual,24
5,2014,AC,ACRE,9,1. Suplente,1
6,2014,AC,ACRE,10,2. Suplente,1
0,2006,PA,PARÁ,3,GOVERNADOR,1
1,2006,PA,PARÁ,5,SENADOR,1
2,2006,PA,PARÁ,6,DEPUTADO FEDERAL,17
3,2006,PA,PARÁ,7,DEPUTADO ESTADUAL,41
0,2006,MG,MINAS GERAIS,3,GOVERNADOR,1
1,2006,MG,MINAS GERAIS,5,SENADOR,1
2,2006,MG,MINAS GERAIS,6,DEPUTADO FEDERAL,53
3,2006,MG,MINAS GERAIS,7,DEPUTADO ESTADUAL,77
0,2002,AC,ACRE,3,GOVERNADOR,1
1,2002,AC,ACRE,5,SENADOR,2
2,2002,AC,ACRE,6,DEPUTADO FEDERAL,8
3,2002,AC,ACRE,7,DEPUTADO ESTADUAL,24
0,2002,SP,SAO PAULO,3,GOVERNADOR,1
1,2002,SP,SAO PAULO,5,SENADOR,2
2,2002,SP,SAO PAULO,6,DEPUTADO FEDERAL,70
3,2002,SP,SAO PAULO,7,DEPUTADO ESTADUAL,94
0,2002,RN,RIO GRANDE DO NORTE,3,GOVERNADOR,1
1,2002,RN,RIO GRANDE DO NORTE,5,SENADOR,2
2,2002,RN,RIO GRANDE DO NORTE,6,DEPUTADO FEDERAL,8
3,2002,RN,RIO GRANDE DO NORTE,7,DEPUTADO ESTADUAL,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,MA,MARANHÃO,3,Governador,1
2,2018,MA,MARANHÃO,5,Senador,2
3,2018,MA,MARANHÃO,6,Deputado Federal,18
4,2018,MA,MARANHÃO,7,Deputado Estadual,42
0,2006,SE,SERGIPE,3,GOVERNADOR,1
1,2006,SE,SERGIPE,5,SENADOR,1
2,2006,SE,SERGIPE,6,DEPUTADO FEDERAL,8
3,2006,SE,SERGIPE,7,DEPUTADO ESTADUAL,24
0,2002,RR,RORAIMA,3,GOVERNADOR,1
1,2002,RR,RORAIMA,5,SENADOR,2
2,2002,RR,RORAIMA,6,DEPUTADO FEDERAL,8
3,2002,RR,RORAIMA,7,DEPUTADO ESTADUAL,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,RS,RIO GRANDE DO SUL,3,Governador,1
2,2018,RS,RIO GRANDE DO SUL,5,Senador,2
3,2018,RS,RIO GRANDE DO SUL,6,Deputado Federal,31
4,2018,RS,RIO GRANDE DO SUL,7,Deputado Estadual,55
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,MS,MATO GROSSO DO SUL,3,Governador,1
2,2018,MS,MATO GROSSO DO SUL,5,Senador,2
3,2018,MS,MATO GROSSO DO SUL,6,Deputado Federal,8
4,2018,MS,MATO GROSSO DO SUL,7,Deputado Estadual,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,AP,AMAPÁ,3,Governador,1
2,2018,AP,AMAPÁ,5,Senador,2
3,2018,AP,AMAPÁ,6,Deputado Federal,8
4,2018,AP,AMAPÁ,7,Deputado Estadual,24
0,2010,PA,PARÁ,3,GOVERNADOR,1
1,2010,PA,PARÁ,3,GOVERNADOR,1
2,2010,PA,PARÁ,5,SENADOR,2
3,2010,PA,PARÁ,6,DEPUTADO FEDERAL,17
4,2010,PA,PARÁ,7,DEPUTADO ESTADUAL,41
0,1998,SP,SÃO PAULO,3,GOVERNADOR,1
1,1998,SP,SÃO PAULO,5,SENADOR,1
2,1998,SP,SÃO PAULO,6,DEPUTADO FEDERAL,70
3,1998,SP,SÃO PAULO,7,DEPUTADO ESTADUAL,94
0,2010,MS,MATO GROSSO DO SUL,3,GOVERNADOR,1
1,2010,MS,MATO GROSSO DO SUL,5,SENADOR,2
2,2010,MS,MATO GROSSO DO SUL,6,DEPUTADO FEDERAL,8
3,2010,MS,MATO GROSSO DO SUL,7,DEPUTADO ESTADUAL,24
0,2006,PE,PERNAMBUCO,3,GOVERNADOR,1
1,2006,PE,PERNAMBUCO,5,SENADOR,1
2,2006,PE,PERNAMBUCO,6,DEPUTADO FEDERAL,25
3,2006,PE,PERNAMBUCO,7,DEPUTADO ESTADUAL,49
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,BA,BAHIA,3,Governador,1
2,2018,BA,BAHIA,5,Senador,2
3,2018,BA,BAHIA,6,Deputado Federal,39
4,2018,BA,BAHIA,7,Deputado Estadual,63
0,1998,ES,ESPÍRITO SANTO,3,GOVERNADOR,1
1,1998,ES,ESPÍRITO SANTO,5,SENADOR,1
2,1998,ES,ESPÍRITO SANTO,6,DEPUTADO FEDERAL,10
3,1998,ES,ESPÍRITO SANTO,7,DEPUTADO ESTADUAL,30
0,2002,PE,PERNAMBUCO,3,GOVERNADOR,1
1,2002,PE,PERNAMBUCO,5,SENADOR,2
2,2002,PE,PERNAMBUCO,6,DEPUTADO FEDERAL,25
3,2002,PE,PERNAMBUCO,7,DEPUTADO ESTADUAL,49
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,PR,PARANÁ,3,Governador,1
2,2018,PR,PARANÁ,5,Senador,2
3,2018,PR,PARANÁ,6,Deputado Federal,30
4,2018,PR,PARANÁ,7,Deputado Estadual,54
0,1998,MS,MATO GROSSO DO SUL,3,GOVERNADOR,1
1,1998,MS,MATO GROSSO DO SUL,5,SENADOR,1
2,1998,MS,MATO GROSSO DO SUL,6,DEPUTADO FEDERAL,8
3,1998,MS,MATO GROSSO DO SUL,7,DEPUTADO ESTADUAL,24
0,2002,PB,PARAIBA,3,GOVERNADOR,1
1,2002,PB,PARAIBA,5,SENADOR,2
2,2002,PB,PARAIBA,6,DEPUTADO FEDERAL,12
3,2002,PB,PARAIBA,7,DEPUTADO ESTADUAL,36
0,1998,MT,MATO GROSSO,3,GOVERNADOR,1
1,1998,MT,MATO GROSSO,5,SENADOR,1
2,1998,MT,MATO GROSSO,6,DEPUTADO FEDERAL,8
3,1998,MT,MATO GROSSO,7,DEPUTADO ESTADUAL,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,BR,BRASIL,1,Presidente,1
2,2018,PE,PERNAMBUCO,7,Deputado Estadual,49
3,2018,PE,PERNAMBUCO,6,Deputado Federal,25
4,2018,PE,PERNAMBUCO,5,Senador,2
5,2018,PE,PERNAMBUCO,3,Governador,1
6,2018,AP,AMAPÁ,7,Deputado Estadual,24
7,2018,AP,AMAPÁ,6,Deputado Federal,8
8,2018,AP,AMAPÁ,5,Senador,2
9,2018,AP,AMAPÁ,3,Governador,1
10,2018,RN,RIO GRANDE DO NORTE,7,Deputado Estadual,24
11,2018,RN,RIO GRANDE DO NORTE,6,Deputado Federal,8
12,2018,RN,RIO GRANDE DO NORTE,5,Senador,2
13,2018,RN,RIO GRANDE DO NORTE,3,Governador,1
14,2018,SE,SERGIPE,7,Deputado Estadual,24
15,2018,SE,SERGIPE,6,Deputado Federal,8
16,2018,SE,SERGIPE,5,Senador,2
17,2018,SE,SERGIPE,3,Governador,1
18,2018,RJ,RIO DE JANEIRO,7,Deputado Estadual,70
19,2018,RJ,RIO DE JANEIRO,6,Deputado Federal,46
20,2018,RJ,RIO DE JANEIRO,5,Senador,2
21,2018,RJ,RIO DE JANEIRO,3,Governador,1
22,2018,CE,CEARÁ,7,Deputado Estadual,46
23,2018,CE,CEARÁ,6,Deputado Federal,22
24,2018,CE,CEARÁ,5,Senador,2
25,2018,CE,CEARÁ,3,Governador,1
26,2018,TO,TOCANTINS,7,Deputado Estadual,24
27,2018,TO,TOCANTINS,6,Deputado Federal,8
28,2018,TO,TOCANTINS,5,Senador,2
29,2018,TO,TOCANTINS,3,Governador,1
30,2018,MG,MINAS GERAIS,7,Deputado Estadual,77
31,2018,MG,MINAS GERAIS,6,Deputado Federal,53
32,2018,MG,MINAS GERAIS,5,Senador,2
33,2018,MG,MINAS GERAIS,3,Governador,1
34,2018,BA,BAHIA,7,Deputado Estadual,63
35,2018,BA,BAHIA,6,Deputado Federal,39
36,2018,BA,BAHIA,5,Senador,2
37,2018,BA,BAHIA,3,Governador,1
38,2018,DF,DISTRITO FEDERAL,8,Deputado Distrital,24
39,2018,DF,DISTRITO FEDERAL,6,Deputado Federal,8
40,2018,DF,DISTRITO FEDERAL,5,Senador,2
41,2018,DF,DISTRITO FEDERAL,3,Governador,1
42,2018,MT,MATO GROSSO,7,Deputado Estadual,24
43,2018,MT,MATO GROSSO,6,Deputado Federal,8
44,2018,MT,MATO GROSSO,5,Senador,2
45,2018,MT,MATO GROSSO,3,Governador,1
46,2018,MS,MATO GROSSO DO SUL,7,Deputado Estadual,24
47,2018,MS,MATO GROSSO DO SUL,6,Deputado Federal,8
48,2018,MS,MATO GROSSO DO SUL,5,Senador,2
49,2018,MS,MATO GROSSO DO SUL,3,Governador,1
50,2018,PI,PIAUÍ,7,Deputado Estadual,30
51,2018,PI,PIAUÍ,6,Deputado Federal,10
52,2018,PI,PIAUÍ,5,Senador,2
53,2018,PI,PIAUÍ,3,Governador,1
54,2018,GO,GOIÁS,7,Deputado Estadual,41
55,2018,GO,GOIÁS,6,Deputado Federal,17
56,2018,GO,GOIÁS,5,Senador,2
57,2018,GO,GOIÁS,3,Governador,1
58,2018,ES,ESPÍRITO SANTO,7,Deputado Estadual,30
59,2018,ES,ESPÍRITO SANTO,6,Deputado Federal,10
60,2018,ES,ESPÍRITO SANTO,5,Senador,2
61,2018,ES,ESPÍRITO SANTO,3,Governador,1
62,2018,PR,PARANÁ,7,Deputado Estadual,54
63,2018,PR,PARANÁ,6,Deputado Federal,30
64,2018,PR,PARANÁ,5,Senador,2
65,2018,PR,PARANÁ,3,Governador,1
66,2018,MA,MARANHÃO,7,Deputado Estadual,42
67,2018,MA,MARANHÃO,6,Deputado Federal,18
68,2018,MA,MARANHÃO,5,Senador,2
69,2018,MA,MARANHÃO,3,Governador,1
70,2018,AC,ACRE,7,Deputado Estadual,24
71,2018,AC,ACRE,6,Deputado Federal,8
72,2018,AC,ACRE,5,Senador,2
73,2018,AC,ACRE,3,Governador,1
74,2018,PB,PARAÍBA,7,Deputado Estadual,36
75,2018,PB,PARAÍBA,6,Deputado Federal,12
76,2018,PB,PARAÍBA,5,Senador,2
77,2018,PB,PARAÍBA,3,Governador,1
78,2018,AL,ALAGOAS,7,Deputado Estadual,27
79,2018,AL,ALAGOAS,6,Deputado Federal,9
80,2018,AL,ALAGOAS,5,Senador,2
81,2018,AL,ALAGOAS,3,Governador,1
82,2018,SP,SÃO PAULO,7,Deputado Estadual,94
83,2018,SP,SÃO PAULO,6,Deputado Federal,70
84,2018,SP,SÃO PAULO,5,Senador,2
85,2018,SP,SÃO PAULO,3,Governador,1
86,2018,PA,PARÁ,7,Deputado Estadual,41
87,2018,PA,PARÁ,6,Deputado Federal,17
88,2018,PA,PARÁ,5,Senador,2
89,2018,PA,PARÁ,3,Governador,1
90,2018,SC,SANTA CATARINA,7,Deputado Estadual,40
91,2018,SC,SANTA CATARINA,6,Deputado Federal,16
92,2018,SC,SANTA CATARINA,5,Senador,2
93,2018,SC,SANTA CATARINA,3,Governador,1
94,2018,RR,RORAIMA,7,Deputado Estadual,24
95,2018,RR,RORAIMA,6,Deputado Federal,8
96,2018,RR,RORAIMA,5,Senador,2
97,2018,RR,RORAIMA,3,Governador,1
98,2018,AM,AMAZONAS,7,Deputado Estadual,24
99,2018,AM,AMAZONAS,6,Deputado Federal,8
100,2018,AM,AMAZONAS,5,Senador,2
101,2018,AM,AMAZONAS,3,Governador,1
102,2018,RS,RIO GRANDE DO SUL,7,Deputado Estadual,55
103,2018,RS,RIO GRANDE DO SUL,6,Deputado Federal,31
104,2018,RS,RIO GRANDE DO SUL,5,Senador,2
105,2018,RS,RIO GRANDE DO SUL,3,Governador,1
106,2018,RO,RONDÔNIA,7,Deputado Estadual,24
107,2018,RO,RONDÔNIA,6,Deputado Federal,8
108,2018,RO,RONDÔNIA,5,Senador,2
109,2018,RO,RONDÔNIA,3,Governador,1
0,2010,SC,SANTA CATARINA,3,GOVERNADOR,1
1,2010,SC,SANTA CATARINA,5,SENADOR,2
2,2010,SC,SANTA CATARINA,6,DEPUTADO FEDERAL,16
3,2010,SC,SANTA CATARINA,7,DEPUTADO ESTADUAL,40
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,MT,MATO GROSSO,3,Governador,1
2,2018,MT,MATO GROSSO,5,Senador,2
3,2018,MT,MATO GROSSO,6,Deputado Federal,8
4,2018,MT,MATO GROSSO,7,Deputado Estadual,24
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,ES,ESPÍRITO SANTO,3,Governador,1
2,2018,ES,ESPÍRITO SANTO,5,Senador,2
3,2018,ES,ESPÍRITO SANTO,6,Deputado Federal,10
4,2018,ES,ESPÍRITO SANTO,7,Deputado Estadual,30
0,2014,SE,SERGIPE,3,Governador,1
1,2014,SE,SERGIPE,4,Vice-governador,1
2,2014,SE,SERGIPE,5,Senador,1
3,2014,SE,SERGIPE,6,Deputado Federal,8
4,2014,SE,SERGIPE,7,Deputado Estadual,24
5,2014,SE,SERGIPE,9,1. Suplente,1
6,2014,SE,SERGIPE,10,2. Suplente,1
0,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGAS
1,2018,RR,RORAIMA,3,Governador,1
2,2018,RR,RORAIMA,5,Senador,2
3,2018,RR,RORAIMA,6,Deputado Federal,8
4,2018,RR,RORAIMA,7,Deputado Estadual,24
0,2002,ES,ESPIRITO SANTO,3,GOVERNADOR,1
1,2002,ES,ESPIRITO SANTO,5,SENADOR,2
2,2002,ES,ESPIRITO SANTO,6,DEPUTADO FEDERAL,10
3,2002,ES,ESPIRITO SANTO,7,DEPUTADO ESTADUAL,30
0,2010,ES,ESPÍRITO SANTO,3,GOVERNADOR,1
1,2010,ES,ESPÍRITO SANTO,5,SENADOR,2
2,2010,ES,ESPÍRITO SANTO,6,DEPUTADO FEDERAL,10
3,2010,ES,ESPÍRITO SANTO,7,DEPUTADO ESTADUAL,30
0,2002,AM,AMAZONAS,3,GOVERNADOR,1
1,2002,AM,AMAZONAS,5,SENADOR,2
2,2002,AM,AMAZONAS,6,DEPUTADO FEDERAL,8
3,2002,AM,AMAZONAS,7,DEPUTADO ESTADUAL,24
0,2010,PE,PERNAMBUCO,3,GOVERNADOR,1
1,2010,PE,PERNAMBUCO,5,SENADOR,2
2,2010,PE,PERNAMBUCO,6,DEPUTADO FEDERAL,25
3,2010,PE,PERNAMBUCO,7,DEPUTADO ESTADUAL,49
0,2014,RS,RIO GRANDE DO SUL,3,Governador,1
1,2014,RS,RIO GRANDE DO SUL,4,Vice-governador,1
